ticker,asset_type
ICICIBANK.NS,EQUITY
ICICIGI.NS,EQUITY
ICICIPRULI.NS,EQUITY
IDBI.NS,EQUITY
IDEA.NS,EQUITY
IDFCFIRSTB.NS,EQUITY
IEX.NS,EQUITY
IFCI.NS,EQUITY
IGL.NS,EQUITY
IIFL.NS,EQUITY
INDGN.NS,EQUITY
INDIACEM.NS,EQUITY
INDIAMART.NS,EQUITY
INDIANB.NS,EQUITY
INDIASHLTR.NS,EQUITY
INDIGO.NS,EQUITY
INDUSINDBK.NS,EQUITY
INDUSTOWER.NS,EQUITY
INFY.NS,EQUITY
INOXINDIA.NS,EQUITY
INOXWIND.NS,EQUITY
INTELLECT.NS,EQUITY
IOB.NS,EQUITY
IOC.NS,EQUITY
IPCALAB.NS,EQUITY
IRB.NS,EQUITY
IRCON.NS,EQUITY
IRCTC.NS,EQUITY
IREDA.NS,EQUITY
IRFC.NS,EQUITY
ITC.NS,EQUITY
ITDCEM.NS,EQUITY
ITI.NS,EQUITY
J&KBANK.NS,EQUITY
JBCHEPHARM.NS,EQUITY
JBMA.NS,EQUITY
JINDALSAW.NS,EQUITY
JINDALSTEL.NS,EQUITY
JIOFIN.NS,EQUITY
JKCEMENT.NS,EQUITY
JKLAKSHMI.NS,EQUITY
JKTYRE.NS,EQUITY
JMFINANCIL.NS,EQUITY
JPPOWER.NS,EQUITY
JSL.NS,EQUITY
JSWENERGY.NS,EQUITY
JSWHL.NS,EQUITY
JSWINFRA.NS,EQUITY
JSWSTEEL.NS,EQUITY
JUBLFOOD.NS,EQUITY
JUBLINGREA.NS,EQUITY
JUBLPHARMA.NS,EQUITY
JUSTDIAL.NS,EQUITY
JWL.NS,EQUITY
JYOTHYLAB.NS,EQUITY
KAJARIACER.NS,EQUITY
KALYANKJIL.NS,EQUITY
KANSAINER.NS,EQUITY
KARURVYSYA.NS,EQUITY
KAYNES.NS,EQUITY
KEC.NS,EQUITY
KEI.NS,EQUITY
KFINTECH.NS,EQUITY
KIMS.NS,EQUITY
KIRLOSBROS.NS,EQUITY
KIRLOSENG.NS,EQUITY
KNRCON.NS,EQUITY
KOTAKBANK.NS,EQUITY
KPIL.NS,EQUITY
KPITTECH.NS,EQUITY
KPRMILL.NS,EQUITY
KSB.NS,EQUITY
LALPATHLAB.NS,EQUITY
LATENTVIEW.NS,EQUITY
LAURUSLABS.NS,EQUITY
LEMONTREE.NS,EQUITY
LICHSGFIN.NS,EQUITY
LICI.NS,EQUITY
LINDEINDIA.NS,EQUITY
LLOYDSME.NS,EQUITY
LODHA.NS,EQUITY
LT.NS,EQUITY
LTF.NS,EQUITY
LTIM.NS,EQUITY
LTTS.NS,EQUITY
LUPIN.NS,EQUITY
M&M.NS,EQUITY
M&MFIN.NS,EQUITY
MAHABANK.NS,EQUITY
MAHSCOOTER.NS,EQUITY
MAHSEAMLES.NS,EQUITY
MANAPPURAM.NS,EQUITY
MANKIND.NS,EQUITY
MANYAVAR.NS,EQUITY
MAPMYINDIA.NS,EQUITY
MARICO.NS,EQUITY
